Code;name;PBS2020_sum;PBS en 2020 - estimation (*=oui);PBS2020_mean;PBS moyenne en 2020 - estimation (*=oui);SAU2020_mean;SAU moyenne en 2020 - estimation (*=oui);SAU moyenne : variation absolue 2020-2010;SAU moyenne : variation absolue 2020-2010 - estimation (*=oui);SAU en 2020;SAU en 2020 - estimation (*=oui);Exploitation2020
01402;Sermoyer;2721;;388.7;;202.5;;80.7;;1418;;7
01403;Serrières-de-Briord;292;;72.9;;38.9;;-12.5;*;156;;4
01404;Serrières-sur-Ain;132;;131.8;;99.2;;2.8;;99;;1
01405;Servas;356;;50.9;;36.9;;-15.4;;258;;7
01406;Servignat;619;;77.4;;75;;26.3;;600;;8
01407;Seyssel;39;;38.9;;2.6;;-0.5;;3;;1
01408;Simandre-sur-Suran;1102;;122.5;;99.9;;11.9;;899;;9
01410;Sonthonnax-la-Montagne;236;;78.6;;150.7;;27;;452;;3
01411;Souclin;122;;40.8;;107.4;;-35.6;;322;;3
01412;Sulignat;2774;;277.4;;87.8;;17.6;;878;;10
01415;Talissieu;10;;4.9;;2.7;;-3.2;;5;;2
01416;Tenay;21;;10.3;;2.5;;-2.5;;5;;2
01418;Thil;1045;;348.3;;93.9;;45.3;;282;;3
01419;Thoiry;1444;;111.1;;122.9;;33.6;*;1598;;13
01420;Thoissey;144;;143.6;;10.9;;2.1;;11;;1
01421;Torcieu;407;;101.8;;115.7;;-8.6;;463;;4
01422;Tossiat;790;;87.8;;88.6;;14.7;;797;;9
01423;Toussieux;290;;96.7;;81.3;;24.5;;244;;3
01424;Tramoyes;826;;82.6;;53.1;;-6.9;;531;;10
01425;La Tranclière;907;;100.8;;63;;10.5;;567;;9
01426;Val-Revermont;4826;;254;;84.6;;26.9;;1607;;19
01427;Trévoux;37;;18.3;;2.9;;-17.8;*;6;;2
01428;Valeins;616;;102.6;;65.2;;-13.1;;391;;6
01429;Vandeins;1428;;178.5;;134;;60.4;;1072;;8
01430;Varambon;568;;189.4;;133.1;;55;;399;;3
01431;Vaux-en-Bugey;706;;141.2;;88.5;;5.7;;442;;5
01432;Verjon;254;;84.5;;71.7;;7.1;;215;;3
01433;Vernoux;1509;;150.9;;91.2;;52;;912;;10
01434;Versailleux;915;;101.7;;61.8;;4.2;;557;;9
01435;Versonnex;52;;17.4;;69.3;;38.8;;208;;3
